id,exchange,pair,base_currency,stake_currency,is_open,fee_open,fee_open_cost,fee_open_currency,fee_close,fee_close_cost,fee_close_currency,open_rate,open_rate_requested,open_trade_value,close_rate,close_rate_requested,realized_profit,close_profit,close_profit_abs,stake_amount,max_stake_amount,amount,amount_requested,open_date,close_date,stop_loss,stop_loss_pct,initial_stop_loss,initial_stop_loss_pct,is_stop_loss_trailing,max_rate,min_rate,exit_reason,exit_order_status,strategy,enter_tag,timeframe,trading_mode,amount_precision,price_precision,precision_mode,precision_mode_price,contract_size,leverage,is_short,liquidation_price,interest_rate,funding_fees,funding_fee_running,record_version
1,binance,SOL/USDT:USDT,SOL,USDT,0,0.0002,0.633006,USDT,0.0002,0.6364974,USDT,208.5,208.5,3165.663006,209.65,209.65,15.8719803,0.00501379340438867,15.8719803,3165.03,3165.03,15.18,15.1878497202238,"2025-09-08 07:34:53.801729","2025-09-08 09:34:19.938000",198.08,-0.05,198.08,-0.05,0,209.65,207.32,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.01,4,4,1.0,1.0,0,10.42,0.0,-0.3155163,0.0,2
2,binance,ADA/USDT:USDT,ADA,USDT,0,0.0002,0.63324382,USDT,0.0002,0.63676976,USDT,0.8441,0.8441,3166.85234382,0.8488,0.8488,16.04385222,0.00506618259335931,16.04385222,3166.2191,3166.2191,3751.0,3751.53022943569,"2025-09-08 07:34:55.698398","2025-09-08 08:33:39.768000",0.8019,-0.05,0.8019,-0.05,0,0.8488,0.8407,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.0001,4,4,1.0,1.0,0,0.0422,0.0,-0.3158342,0.0,2
3,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6325704,USDT,0.0002,0.6360732,USDT,25.102,25.102,3163.4845704,25.241,25.241,16.2453564,0.00513527284185422,16.2453564,3162.852,3162.852,126.0,126.354362993772,"2025-09-08 09:00:14.884716","2025-09-08 09:34:04.879000",23.847,-0.05,23.847,-0.05,0,25.294,25.052,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.255,0.0,0.0,0.0,2
4,binance,XRP/USDT:USDT,XRP,USDT,0,0.0002,0.634300074,USDT,0.0002,0.637769772,USDT,2.9067,2.9067,3172.134670074,2.9226,2.9226,16.07642015,0.0050680131274581,16.07642015,3171.50037,3171.50037,1091.1,1091.18492443997,"2025-09-08 09:00:16.927084","2025-09-08 09:48:38.788000",2.7614,-0.05,2.7614,-0.05,0,2.9226,2.9032,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.1453,0.0,0.0,0.0,2
5,binance,ADA/USDT:USDT,ADA,USDT,0,0.0002,0.63534132,USDT,0.0002,0.6392382,USDT,0.8478,0.8478,3177.34194132,0.853,0.853,18.20982048,0.00573114912285295,18.20982048,3176.7066,3176.7066,3747.0,3747.21819147165,"2025-09-08 09:34:06.953178","2025-09-08 10:08:17.575000",0.8055,-0.05,0.8055,-0.05,0,0.853,0.8457,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.0001,4,4,1.0,1.0,0,0.0424,0.0,0.0,0.0,2
6,binance,XRP/USDT:USDT,XRP,USDT,0,0.0002,0.637346888,USDT,0.0002,0.64080482,USDT,2.9306,2.9306,3187.371786888,2.9465,2.9465,16.01150829,0.00502342034771942,16.01150829,3186.73444,3186.73444,1087.4,1087.49354268938,"2025-09-08 10:00:13.448932","2025-09-08 10:31:18.854000",2.7841,-0.05,2.7841,-0.05,0,2.9536,2.9245,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.1465,0.0,0.0,0.0,2
7,binance,ATOM/USDT:USDT,ATOM,USDT,0,0.0002,0.63739425,USDT,0.0002,0.640908,USDT,4.535,4.535,3187.60864425,4.56,4.56,16.29044775,0.00511055451533728,16.29044775,3186.97125,3186.97125,702.75,702.75823069581,"2025-09-08 10:00:15.382217","2025-09-08 15:01:33.965000",4.309,-0.05,4.309,-0.05,0,4.56,4.502,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.001,4,4,1.0,1.0,0,0.227,0.0,0.0,0.0,2
8,binance,INJ/USDT:USDT,INJ,USDT,0,0.0002,0.63952512,USDT,0.0002,0.64306528,USDT,13.368,13.368,3198.26512512,13.442,13.442,16.4182096,0.00513347360450112,16.4182096,3197.6256,3197.6256,239.2,239.216437037403,"2025-09-08 11:00:18.457183","2025-09-08 13:02:16.985000",12.7,-0.05,12.7,-0.05,0,13.442,13.248,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.001,4,4,1.0,1.0,0,0.668,0.0,0.0,0.0,2
9,binance,BTC/USDT:USDT,BTC,USDT,0,0.0002,0.6272448,USDT,0.0002,0.63064288,USDT,112008.0,112008.0,3136.8512448,112614.8,112614.8,15.73251232,0.00501538360994325,15.73251232,3136.224,3136.224,0.028,0.0285501511527391,"2025-09-08 12:00:19.378006","2025-09-08 14:35:18.309000",106407.6,-0.05,106407.6,-0.05,0,112614.8,111830.6,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.001,0.1,4,4,1.0,1.0,0,5600.4,0.0,0.0,0.0,2
10,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6373836,USDT,0.0002,0.6409116,USDT,25.293,25.293,3187.5553836,25.433,25.433,16.3617048,0.00513299467177296,16.3617048,3186.918,3186.918,126.0,126.637584708127,"2025-09-08 13:02:18.206583","2025-09-08 15:03:14.062000",24.029,-0.05,24.029,-0.05,0,25.442,25.052,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.265,0.0,0.0,0.0,2
11,binance,SOL/USDT:USDT,SOL,USDT,0,0.0002,0.64149098,USDT,0.0005,1.61325705,USDT,215.41,215.41,3208.09639098,216.69,216.69,16.48434504,0.00513835715359052,16.48434504,3207.4549,3207.4549,14.89,14.8926530442288,"2025-09-08 14:35:19.431890","2025-09-08 17:23:33.854000",204.64,-0.05,204.64,-0.05,0,216.69,213.83,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.01,4,4,1.0,1.0,0,10.77,0.0,-0.32010693103968,0.0,2
12,binance,LINK/USDT:USDT,LINK,USDT,0,0.0002,0.642615428,USDT,0.0002,0.646146282,USDT,23.114,23.114,3213.719755428,23.241,23.241,16.36550829,0.00509238811578344,16.36550829,3213.07714,3213.07714,139.01,139.014667908836,"2025-09-08 15:01:35.077683","2025-09-08 15:32:05.574000",21.959,-0.05,21.959,-0.05,0,23.271,23.091,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.001,4,4,1.0,1.0,0,1.156,0.0,0.0,0.0,2
13,binance,OP/USDT:USDT,OP,USDT,0,0.0002,0.643661252,USDT,0.0002,0.647702406,USDT,0.7486,0.7486,3218.949921252,0.7533,0.7533,18.5917159,0.00577570833806846,18.5917159,3218.30626,3218.30626,4299.1,4299.18012365059,"2025-09-08 15:03:15.182515","2025-09-08 16:07:37.756000",0.7112,-0.05,0.7112,-0.05,0,0.7541,0.7467,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0374,0.0,-0.322690446,0.0,2
15,binance,ATOM/USDT:USDT,ATOM,USDT,0,0.0002,0.645884096,USDT,0.0002,0.646025242,USDT,4.576,4.576,3230.066364096,4.577,4.577,-0.90643961,-0.000280625692424027,-0.90643961,3229.42048,3229.42048,705.73,705.733397776442,"2025-09-08 16:07:38.821660","2025-09-09 06:01:13.865000",4.348,-0.05,4.348,-0.05,0,4.594,4.488,exit_signal,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.001,4,4,1.0,1.0,0,0.229,0.0,-0.320260274,0.0,2
16,binance,LINK/USDT:USDT,LINK,USDT,0,0.0002,0.645855168,USDT,0.0005,1.624979265,USDT,23.264,23.264,3229.921695168,23.413,23.413,18.09210673,0.00560140722825138,18.09210673,3229.27584,3229.27584,138.81,138.816885669919,"2025-09-08 16:10:19.801908","2025-09-09 06:04:04.834000",22.101,-0.05,22.101,-0.05,0,23.413,22.842,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.001,4,4,1.0,1.0,0,1.163,0.0,-0.319748835,0.0,2
17,binance,BTC/USDT:USDT,BTC,USDT,0,0.0002,0.6298824,USDT,0.0002,0.62272,USDT,112479.0,112479.0,3150.0418824,111200.0,111200.0,-37.18375509,-0.0118042097464653,-37.18375509,3149.412,3149.412,0.028,0.0287578665423857,"2025-09-08 17:23:35.463620","2025-09-09 03:00:37.096000",106855.1,-0.05,106855.1,-0.05,0,112494.3,111071.6,exit_signal,closed,ImprovedADXRSI,"",60,FUTURES,0.001,0.1,4,4,1.0,1.0,0,5624.0,0.0,-0.119152685580276,0.0,2
18,binance,OP/USDT:USDT,OP,USDT,0,0.0002,0.64198251,USDT,0.0002,0.645522696,USDT,0.7435,0.7435,3210.55453251,0.7476,0.7476,16.41342479,0.00511233328192935,16.41342479,3209.91255,3209.91255,4317.3,4317.3467721957,"2025-09-09 03:00:38.302617","2025-09-09 03:33:03.859000",0.7064,-0.05,0.7064,-0.05,0,0.7477,0.7429,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0372,0.0,0.0,0.0,2
19,binance,NEAR/USDT:USDT,NEAR,USDT,0,0.0002,0.6449448,USDT,0.0002,0.6486528,USDT,2.609,2.609,3225.3689448,2.624,2.624,17.2464024,0.00534710995708103,17.2464024,3224.724,3224.724,1236.0,1236.3127936673,"2025-09-09 03:33:04.891281","2025-09-09 04:20:52.060000",2.479,-0.05,2.479,-0.05,0,2.624,2.595,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,0.13,0.0,0.0,0.0,2
20,binance,OP/USDT:USDT,OP,USDT,0,0.0005,1.61676662,USDT,0.0005,1.62726928,USDT,0.7543,0.7543,3235.15000662,0.7592,0.7592,17.7612841,0.00549009599667884,17.7612841,3233.53324,3233.53324,4286.8,4286.80917449202,"2025-09-09 04:20:53.198478","2025-09-09 04:58:18.777000",0.7166,-0.05,0.7166,-0.05,0,0.7592,0.7535,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0377,0.0,0.0,0.0,2
21,binance,OP/USDT:USDT,OP,USDT,0,0.0002,0.647830856,USDT,0.0002,0.651504432,USDT,0.7583,0.7583,3239.802110856,0.7626,0.7626,17.06854471,0.00526839113191708,17.06854471,3239.15428,3239.15428,4271.6,4271.61356580641,"2025-09-09 05:00:16.046191","2025-09-09 05:57:23.384000",0.7204,-0.05,0.7204,-0.05,0,0.7626,0.7535,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0379,0.0,0.0,0.0,2
22,binance,ARB/USDT:USDT,ARB,USDT,0,0.0002,0.648912384,USDT,0.0002,0.655671888,USDT,0.5184,0.5184,3245.210832384,0.5238,0.5238,32.49293573,0.0100125808177862,32.49293573,3244.56192,3244.56192,6258.8,6258.81482659947,"2025-09-09 06:00:16.572699","2025-09-09 06:13:44.565000",0.4925,-0.05,0.4925,-0.05,0,0.5238,0.5176,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0259,0.0,0.0,0.0,2
23,binance,OP/USDT:USDT,OP,USDT,0,0.0002,0.649990986,USDT,0.0002,0.656776746,USDT,0.7663,0.7663,3250.604920986,0.7743,0.7743,32.62203227,0.0100356804542414,32.62203227,3249.95493,3249.95493,4241.1,4241.17412766606,"2025-09-09 06:11:21.021035","2025-09-09 06:41:03.784000",0.728,-0.05,0.728,-0.05,0,0.7743,0.7663,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0383,0.0,0.0,0.0,2
24,binance,OP/USDT:USDT,OP,USDT,0,0.0002,0.65411376,USDT,0.0005,1.6441443,USDT,0.7752,0.7752,3271.22291376,0.7794,0.7794,15.42154194,0.00471430481705516,15.42154194,3270.5688,3270.5688,4219.0,4219.08084868056,"2025-09-09 07:00:18.121970","2025-09-09 07:58:47.087000",0.7365,-0.05,0.7365,-0.05,0,0.7815,0.7737,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0388,0.0,0.0,0.0,2
25,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6537384,USDT,0.0002,0.6574176,USDT,25.942,25.942,3269.3457384,26.088,26.088,17.084844,0.00522576850754281,17.084844,3268.692,3268.692,126.0,126.263008333134,"2025-09-09 08:00:15.241660","2025-09-09 10:03:29.275000",24.645,-0.05,24.645,-0.05,0,26.09,25.861,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.297,0.0,0.0,0.0,2
26,binance,ARB/USDT:USDT,ARB,USDT,0,0.0002,0.655099874,USDT,0.0005,1.65353597,USDT,0.5291,0.5291,3276.154469874,0.5342,0.5342,29.26393416,0.00893240365468039,29.26393416,3275.49937,3275.49937,6190.7,6190.7294692462,"2025-09-09 08:00:17.289851","2025-09-09 08:30:22.807000",0.5027,-0.05,0.5027,-0.05,0,0.5342,0.5282,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0265,0.0,0.0,0.0,2
27,binance,LINK/USDT:USDT,LINK,USDT,0,0.0005,1.6377391,USDT,0.0002,0.63361936,USDT,23.701,23.701,3277.1159391,22.924,22.924,-109.96956649,-0.0335568129213644,-109.96956649,3275.4782,3275.4782,138.2,138.201551081312,"2025-09-09 08:00:23.058424","2025-09-09 18:00:23.572000",22.516,-0.05,22.516,-0.05,0,23.822,22.825,exit_signal,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.001,4,4,1.0,1.0,0,1.185,0.0,-0.3168080268516,0.0,2
28,binance,DOT/USDT:USDT,DOT,USDT,0,0.0002,0.6568861,USDT,0.0002,0.66053988,USDT,4.135,4.135,3285.0873861,4.158,4.158,16.95147402,0.0051601287964898,16.95147402,3284.4305,3284.4305,794.3,794.384975734502,"2025-09-09 08:40:28.835455","2025-09-09 10:11:34.784000",3.929,-0.05,3.929,-0.05,0,4.159,4.122,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.001,4,4,1.0,1.0,0,0.207,0.0,0.0,0.0,2
29,binance,BTC/USDT:USDT,BTC,USDT,0,0.0002,0.654936,USDT,0.0002,0.64252458,USDT,112920.0,112920.0,3275.334936,110780.1,110780.1,-63.35456058,-0.0193429257825374,-63.35456058,3274.68,3274.68,0.029,0.0291373722570153,"2025-09-09 10:03:30.451447","2025-09-09 16:00:35.178000",107274.0,-0.05,107274.0,-0.05,0,113011.8,110719.2,exit_signal,closed,ImprovedADXRSI,"",60,FUTURES,0.001,0.1,4,4,1.0,1.0,0,5646.0,0.0,0.0,0.0,2
30,binance,SOL/USDT:USDT,SOL,USDT,0,0.0002,0.65869184,USDT,0.0002,0.65670656,USDT,218.98,218.98,3294.11789184,218.32,218.32,-11.68021394,-0.00354577896830394,-11.68021394,3293.4592,3293.4592,15.04,15.049593762148,"2025-09-09 10:11:35.805405","2025-09-10 06:00:40.854000",208.04,-0.05,208.04,-0.05,0,219.57,211.69,exit_signal,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.01,4,4,1.0,1.0,0,10.95,0.0,-0.43841553585056,0.0,2
31,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.649025,USDT,0.0002,0.652575,USDT,25.961,25.961,3245.774025,26.103,26.103,16.4484,0.00506763560041738,16.4484,3245.125,3245.125,125.0,125.47882953486,"2025-09-09 16:00:36.318083","2025-09-09 17:12:35.964000",24.663,-0.05,24.663,-0.05,0,26.103,25.799,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.298,0.0,0.0,0.0,2
32,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6511,USDT,0.0002,0.654725,USDT,26.044,26.044,3256.1511,26.189,26.189,16.4950375,0.00506580837111644,16.4950375,3255.5,3255.5,125.0,125.678923112982,"2025-09-09 18:00:14.174684","2025-09-10 02:25:12.340000",24.742,-0.05,24.742,-0.05,0,26.189,25.749,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.302,0.0,-0.3241375,0.0,2
33,binance,OP/USDT:USDT,OP,USDT,0,0.0005,1.62554217,USDT,0.0005,1.635878475,USDT,0.7706,0.7706,3252.70988217,0.7755,0.7755,17.08679813,0.00525309626402979,17.08679813,3251.08434,3251.08434,4218.9,4218.92831171122,"2025-09-10 03:00:35.524017","2025-09-10 12:30:11.366000",0.7321,-0.05,0.7321,-0.05,0,0.7755,0.7612,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0385,0.0,-0.324391221,0.0,2
34,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6393532,USDT,0.0002,0.642818,USDT,26.203,26.203,3197.4053532,26.345,26.345,16.0418288,0.00501713953282312,16.0418288,3196.766,3196.766,122.0,122.458303668053,"2025-09-10 04:00:38.355008","2025-09-10 04:55:12.765000",24.893,-0.05,24.893,-0.05,0,26.345,26.135,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.31,0.0,0.0,0.0,2
35,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6443308,USDT,0.0002,0.6478932,USDT,26.407,26.407,3222.2983308,26.553,26.553,16.519776,0.0051267059421834,16.519776,3221.654,3221.654,122.0,122.089395553225,"2025-09-10 05:00:38.931233","2025-09-10 06:29:16.464000",25.087,-0.05,25.087,-0.05,0,26.553,26.186,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.32,0.0,0.0,0.0,2
36,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6476888,USDT,0.0002,0.6527708,USDT,26.764,26.764,3239.0916888,26.974,26.974,24.1095404,0.00744330285041482,24.1095404,3238.444,3238.444,121.0,121.720168788061,"2025-09-10 09:00:33.651922","2025-09-10 11:55:50.866000",25.426,-0.05,25.426,-0.05,0,26.974,26.378,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.338,0.0,0.0,0.0,2
37,binance,OP/USDT:USDT,OP,USDT,0,0.0005,1.63535125,USDT,0.0002,0.65822367,USDT,0.785,0.785,3272.33785125,0.7899,0.7899,17.47542596,0.00534034893534131,17.47542596,3270.7025,3270.7025,4166.5,4166.57847725456,"2025-09-10 14:00:18.126830","2025-09-11 02:34:55.085000",0.7458,-0.05,0.7458,-0.05,0,0.791,0.7628,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0393,0.0,-0.646849125,0.0,2
38,binance,SOL/USDT:USDT,SOL,USDT,0,0.0002,0.65387246,USDT,0.0005,1.6437874,USDT,224.39,224.39,3270.01617246,225.64,225.64,15.49294888,0.00473788142409853,15.49294888,3269.3623,3269.3623,14.57,14.5762471796641,"2025-09-10 14:00:24.932466","2025-09-11 10:56:12.566000",213.18,-0.05,213.18,-0.05,0,225.64,220.47,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.01,0.01,4,4,1.0,1.0,0,11.22,0.0,-0.421891262978489,0.0,2
39,binance,SUI/USDT:USDT,SUI,USDT,0,0.0002,0.654132528,USDT,0.0005,1.64710672,USDT,3.6108,3.6108,3271.316772528,3.6368,3.6368,20.92179461,0.00639552695895974,20.92179461,3270.66264,3270.66264,905.8,905.828100322597,"2025-09-10 16:00:38.351026","2025-09-11 00:29:33.531000",3.4303,-0.05,3.4303,-0.05,0,3.6368,3.5387,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.1805,0.0,-0.3277661412396,0.0,2
40,binance,BTC/USDT:USDT,BTC,USDT,0,0.0002,0.63735056,USDT,0.0002,0.6401024,USDT,113812.6,113812.6,3187.39015056,114304.0,114304.0,12.48174704,0.00391597716326225,12.48174704,3186.7528,3186.7528,0.028,0.0287963664796751,"2025-09-11 01:00:47.975628","2025-09-11 04:00:58.146000",108122.0,-0.05,108122.0,-0.05,0,114389.1,113663.8,exit_signal,closed,ImprovedADXRSI,"",60,FUTURES,0.001,0.1,4,4,1.0,1.0,0,5690.6,0.0,0.0,0.0,2
41,binance,AVAX/USDT:USDT,AVAX,USDT,0,0.0002,0.6524168,USDT,0.0002,0.6559876,USDT,28.868,28.868,3262.7364168,29.026,29.026,16.5455956,0.00507107945183861,16.5455956,3262.084,3262.084,113.0,113.721879745462,"2025-09-11 02:34:56.967099","2025-09-11 03:21:28.261000",27.425,-0.05,27.425,-0.05,0,29.026,28.824,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,0.001,4,4,1.0,1.0,0,1.443,0.0,0.0,0.0,2
42,binance,OP/USDT:USDT,OP,USDT,0,0.0002,0.65762477,USDT,0.0005,1.653653155,USDT,0.7885,0.7885,3288.78147477,0.7931,0.7931,16.87118207,0.00512991884666946,16.87118207,3288.12385,3288.12385,4170.1,4170.14922396787,"2025-09-11 03:21:29.613636","2025-09-11 03:52:55.604000",0.7491,-0.05,0.7491,-0.05,0,0.7931,0.7875,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.1,0.0001,4,4,1.0,1.0,0,0.0394,0.0,0.0,0.0,2
43,binance,LTC/USDT:USDT,LTC,USDT,0,0.0002,0.658700936,USDT,0.0002,0.66231924,USDT,116.51,116.51,3294.163380936,117.15,117.15,16.77049982,0.00509097390768604,16.77049982,3293.50468,3293.50468,28.268,28.268004498219,"2025-09-11 03:52:58.037511","2025-09-11 07:42:13.247000",110.69,-0.05,110.69,-0.05,0,117.15,116.01,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.001,0.01,4,4,1.0,1.0,0,5.83,0.0,0.0,0.0,2
44,binance,BTC/USDT:USDT,BTC,USDT,0,0.0002,0.63908152,USDT,0.0005,1.6065266,USDT,114121.7,114121.7,3196.04668152,114751.9,114751.9,15.15694051,0.00474240273073594,15.15694051,3195.4076,3195.4076,0.028,0.028894222197153,"2025-09-11 05:00:52.355479","2025-09-11 22:20:58.399000",108415.7,-0.05,108415.7,-0.05,0,114751.9,113371.2,roi,closed,ImprovedADXRSI,"",60,FUTURES,0.001,0.1,4,4,1.0,1.0,0,5706.1,0.0,-0.243051366701198,0.0,2
45,binance,DOGE/USDT:USDT,DOGE,USDT,0,0.0002,0.66052116,USDT,0.0005,1.66042539,USDT,0.2498,0.2498,3303.26632116,0.25118,0.25118,15.59405286,0.00472079794478208,15.59405286,3302.6058,3302.6058,13221.0,13221.6509831592,"2025-09-11 07:42:15.080215","2025-09-11 10:40:26.129000",0.23731,-0.05,0.23731,-0.05,0,0.25118,0.24871,roi,closed,ImprovedADXRSI,"",60,FUTURES,1.0,1.0e-05,4,4,1.0,1.0,0,0.01249,0.0,-0.329980585662,0.0,2
46,binance,LTC/USDT:USDT,LTC,USDT,0,0.0002,0.661534016,USDT,0.0005,1.60559936,USDT,117.26,117.26,3308.331614016,113.84,113.84,-98.88028778,-0.0298882637281844,-98.88028778,3307.67008,3307.67008,28.208,28.2083108675778,"2025-09-11 10:50:33.384094","2025-09-11 16:00:30.194000",111.4,-0.05,111.4,-0.05,0,117.47,112.91,exit_signal,closed,ImprovedADXRSI,"",60,FUTURES,0.001,0.01,4,4,1.0,1.0,0,5.86,0.0,-0.14179440244624,0.0,2
